# generated with code/opcodes.py
1:0x0 : ...
1:0x1 : 01                   	.byte 0x1
1:0x2 : 02                   	.byte 0x2
1:0x3 : 03                   	.byte 0x3
1:0x4 : 04                   	.byte 0x4
1:0x5 : 05                   	.byte 0x5
1:0x6 : 06                   	(bad)
1:0x7 : 07                   	(bad)
1:0x8 : 08                   	.byte 0x8
1:0x9 : 09                   	.byte 0x9
1:0xa : 0a                   	.byte 0xa
1:0xb : 0b                   	.byte 0xb
1:0xc : 0c                   	.byte 0xc
1:0xd : 0d                   	.byte 0xd
1:0xe : 0e                   	(bad)
1:0xf : 
1:0x10 : 10                   	.byte 0x10
1:0x11 : 11                   	.byte 0x11
1:0x12 : 12                   	.byte 0x12
1:0x13 : 13                   	.byte 0x13
1:0x14 : 14                   	.byte 0x14
1:0x15 : 15                   	.byte 0x15
1:0x16 : 16                   	(bad)
1:0x17 : 17                   	(bad)
1:0x18 : 18                   	.byte 0x18
1:0x19 : 19                   	.byte 0x19
1:0x1a : 1a                   	.byte 0x1a
1:0x1b : 1b                   	.byte 0x1b
1:0x1c : 1c                   	.byte 0x1c
1:0x1d : 1d                   	.byte 0x1d
1:0x1e : 1e                   	(bad)
1:0x1f : 1f                   	(bad)
1:0x20 : 20                   	.byte 0x20
1:0x21 : 21                   	.byte 0x21
1:0x22 : 22                   	.byte 0x22
1:0x23 : 23                   	.byte 0x23
1:0x24 : 24                   	.byte 0x24
1:0x25 : 25                   	.byte 0x25
1:0x26 : 26                   	es
1:0x27 : 27                   	(bad)
1:0x28 : 28                   	.byte 0x28
1:0x29 : 29                   	.byte 0x29
1:0x2a : 2a                   	.byte 0x2a
1:0x2b : 2b                   	.byte 0x2b
1:0x2c : 2c                   	.byte 0x2c
1:0x2d : 2d                   	.byte 0x2d
1:0x2e : 2e                   	cs
1:0x2f : 2f                   	(bad)
1:0x30 : 30                   	.byte 0x30
1:0x31 : 31                   	.byte 0x31
1:0x32 : 32                   	.byte 0x32
1:0x33 : 33                   	.byte 0x33
1:0x34 : 34                   	.byte 0x34
1:0x35 : 35                   	.byte 0x35
1:0x36 : 36                   	ss
1:0x37 : 37                   	(bad)
1:0x38 : 38                   	.byte 0x38
1:0x39 : 39                   	.byte 0x39
1:0x3a : 3a                   	.byte 0x3a
1:0x3b : 3b                   	.byte 0x3b
1:0x3c : 3c                   	.byte 0x3c
1:0x3d : 3d                   	.byte 0x3d
1:0x3e : 3e                   	ds
1:0x3f : 3f                   	(bad)
1:0x40 : 40                   	rex
1:0x41 : 41                   	rex.B
